text_en,text_ru
"* IF FLOOR THICKNESS IS GREATER THAN 80MM, PLEASE INFORM US IN TIME. WE WILL REPLACE THE OTHER TYPE OF SILL SUPPORT.","* ЕСЛИ ТОЛЩИНА ПОЛА БОЛЬШЕ 80 ММ, ПОЖАЛУЙСТА, СООБЩИТЕ НАМ ЗА РАНЕЕ. МЫ ЗАМЕНИМ НА ДРУГОЙ ТИП ОПОРЫ ПОДОКОННИКА."
1000(W)*2000(H),1000(Ш)*2000(В)
1100 X 2400,1100 X 2400
1140,1140
2-PANEL CENTER OPENING,2-ПАНЕЛЬНОЕ ЦЕНТРАЛЬНОЕ ОТКРЫТИЕ
2.5,2.5
20,20
2:1(S),2:1(С)
40,40
41KN,41КН
50,50
84KN,84КН
850,850
A.C 1PH-220-50,А.Ч 1Ф-220-50
A.C 3PH-380-50,А.Ч 3Ф-380-50
ALL FLOOR,ВСЕ ЭТАЖИ
CAPACITY (kg),ВМЕСТИМОСТЬ (кг)
"CAPACITY OF LIGHTING
C.B.(A)","ВМЕСТИМОСТЬ ОСВЕЩЕНИЯ
УЗО (А)"
"CAPACITY OF MAIN
POWER C.B.(A)","ВМЕСТИМОСТЬ ГЛАВНОГО
ЭЛЕКТРОЩИТА (А)"
CAR INTERNAL SIZE (mm),ВНУТРЕННИЙ РАЗМЕР КАБИНЫ (мм)
CONTROL,УПРАВЛЕНИЕ
DOOR OPEN TYPE,ТИП ОТКРЫВАНИЯ ДВЕРИ
DOOR OPENING SIZE (mm),РАЗМЕР ОТКРЫВАНИЯ ДВЕРИ (мм)
DRAWING,ЧЕРТЕЖ
EARTH WIRE (mm²),ЗАЗЕМЛЯЮЩИЙ ПРОВОД (мм²)
EL NO.,ЭЛ №
ELECTRICAL REQUIREMENTS/UNIT (BY OTHERS),ЭЛЕКТРИЧЕСКИЕ ТРЕБОВАНИЯ/ЕДИНИЦА (ДРУГИЕ)
FERRULE,ФЕРУЛА
FINISHED FLOOR,ЗАВЕРШЕННЫЙ ПОЛ
FINISHING FLOOR(BY OTHERS),ОТДЕЛКА ПОЛА (ДРУГИЕ)
FIRE DOOR : EI60(GOST),ПОЖАРНАЯ ДВЕРЬ: EI60 (ГОСТ)
FLOOR/STOP/DOOR,ПОЛ/СТОП/ДВЕРЬ
"HEAT EMISSION OF
MACHINE ROOM (KCal/h)","ТЕПЛОВЫДЕЛЕНИЕ
МАШИННОГО ПОМЕЩЕНИЯ (Ккал/ч)"
HOISTING HOOK 35KN,КРЮК ПОДЪЕМА 35КН
HOISTWAY PLAN,ПЛАН ШАХТЫ
HOLE OF ENTRANCE / PLAN OF ENTRANCE,ОТВЕРСТИЕ ВХОДА / ПЛАН ВХОДА
HOLE OF MACHINE ROOM,ОТВЕРСТИЕ МАШИННОГО ПОМЕЩЕНИЯ
HOLE SIZE,РАЗМЕР ОТВЕРСТИЯ
"IF THE RESCUE METHOD 5.4.3 b) IS USED,
THE RESCUE TOOL IS FIXED
(BY OTHERS)","ЕСЛИ ИСПОЛЬЗУЕТСЯ МЕТОД СПАСЕНИЯ 5.4.3 b),
СПАСАТЕЛЬНЫЙ ИНСТРУМЕНТ ЗАКРЕПЛЕН
(ДРУГИЕ)"
INSPECTION PLUG(BY OTHERS),ПЛУГ ДЛЯ ИНСПЕКЦИИ (ДРУГИЕ)
INSTALLATION OF ELEVATOR LAYOUT PLAN,УСТАНОВКА ПЛАНА РАСПОЛОЖЕНИЯ ЛИФТА
"Interphone wiring requirements (BY OTHERS):
Each elevator control cabinet is wired in series with each other, from one or more elevator control cabinets to the community or building monitoring room, the cable requires the use of RVVS 4*0.75mm2^ . When the wiring length is greater than 1000m, less than or equal to 2000m, it is required to use RVVS 4*1.0mm2^ . When the wiring length is greater than 2000m, less than or equal to 3000m, it is required to use RVVS 4*1.5mm2^  which cannot exceed 3000m.","Требования к проводке интеркома (ДРУГИЕ):
Каждый шкаф управления лифтом соединен последовательно с другими, от одного или нескольких шкафов управления лифтом до комнаты мониторинга сообщества или здания, кабель требует использования RVVS 4*0.75mm2^ . Когда длина проводки превышает 1000м, но меньше или равна 2000м, требуется использовать RVVS 4*1.0mm2^ . Когда длина проводки превышает 2000м, но меньше или равна 3000м, требуется использовать RVVS 4*1.5mm2^ , которая не может превышать 3000м."
LIGHTING POWER,ЭЛЕКТРОСНАБЖЕНИЕ ОСВЕЩЕНИЯ
"LIGHTING POWER
FEEDER (mm²)","ЭЛЕКТРОСНАБЖЕНИЕ ОСВЕЩЕНИЯ
КОРМИТЕЛЬ (мм²)"
LOD EL NO.,НОМЕР ЭЛЕКТРОННОЙ ЗАЯВКИ.
M  HOLE FERRULE,М  ДИРЕКТИВНЫЙ КОЛПАЧОК
M/C ROOM DEVICES HOISTED :,УСТРОЙСТВА В МАШИННОМ ЗАЛЕ ПОДВЕШЕНЫ:
M/C ROOM ENTRANCE(BY OTHERS),ВХОД В МАШИННЫЙ ЗАЛ (ДРУГИЕ)
M/C ROOM FLOOR,ПОЛ МАШИННОГО ЗАЛА
M/C ROOM REACTION,РЕАКЦИЯ МАШИННОГО ЗАЛА
MAIN POWER,ГЛАВНОЕ ЭЛЕКТРОСНАБЖЕНИЕ
"MAIN POWER FEEDER
(mm²)","ГЛАВНОЙ КОРМИТЕЛЬ ЭЛЕКТРОСНАБЖЕНИЯ
(мм²)"
OPERATION,ОПЕРАЦИЯ
PASSENGER,ПАССАЖИР
PLAN OF MACHINE ROOM,ПЛАН МАШИННОГО ЗАЛА
"PLAN OF MACHINE ROOM 
 HOLE OF MACHINE ROOM","ПЛАН МАШИННОГО ЗАЛА 
 ОТВЕРСТИЕ МАШИННОГО ЗАЛА"
PLEASE SET UP THE FAN ACCORDING TO THE HEAT EMISSION,"ПОЖАЛУЙСТА, УСТАНОВИТЕ ВЕНТИЛЯТОР В СООТВЕТСТВИИ С ВЫДЕЛЕНИЕМ ТЕПЛА"
POWER SWITCH(BY OTHERS),ЭЛЕКТРИЧЕСКИЙ ВКЛЮЧАТЕЛЬ (ДРУГИЕ)
REMARK,ЗАМЕЧАНИЕ
ROPES RATIO,Коэффициент канатов
SCM EL NO.,Номер эл. СМ
SILL BRACKET & ANCHOR BOLT,Кронштейн подоконника и анкерный болт
SPEC EL NO.,Номер эл. спецификации
SPECIFICATION,СПЕЦИФИКАЦИЯ
SPEED (m/s),СКОРОСТЬ (м/с)
STOP FLOORS' NAME,ИМЕНА ЭТАЖЕЙ ОСТАНОВКИ
THE SIZE OF MACHINE ROOM WINDOW OR ENTRANCE SHOULD BE LARGER THAN 1200*1200 IF THE ELEVATOR DEVICES  BE TRANSPORTED THROUGH THOSE PASSAGE. (THE CRANE SUPPLIED BY OTHERS) THE OPENNING SIZE SHOULD BE LARGER THAN 1000*1400 IF THOSE DEVICES BE TRANSPORTED THROUGH THE MACHINE ROOM FLOOR VERTICALLY.(BY OTHERS),"РАЗМЕР ОКНА ИЛИ ВХОДА МАШИННОГО ПОМЕЩЕНИЯ ДОЛЖЕН БЫТЬ БОЛЬШЕ 1200*1200, ЕСЛИ ЛИФТОВЫЕ УСТРОЙСТВА ДОЛЖНЫ БЫТЬ ТРАНСПОРТИРОВАНЫ ЧЕРЕЗ ЭТИ ПРОХОДЫ. (КРАН, ПРЕДОСТАВЛЕННЫЙ ДРУГИМИ) РАЗМЕР ОТКРЫТИЯ ДОЛЖЕН БЫТЬ БОЛЬШЕ 1000*1400, ЕСЛИ ЭТИ УСТРОЙСТВА ДОЛЖНЫ БЫТЬ ТРАНСПОРТИРОВАНЫ ВЕРТИКАЛЬНО ЧЕРЕЗ ЭТАЖ МАШИННОГО ПОМЕЩЕНИЯ. (ДРУГИМИ)"
TM MOTOR (kw),Двигатель TM (кВт)
TM ROPE,Канат TM
TRAVEL (mm),ПУТЬ (мм)
USE,USE
VVVF,VVVF
X2-X2,X2-X2
1 FLOOR,1 ЭТАЖ
102,102
115,115
79,79
OTHER FLOOR,ДРУГОЙ ЭТАЖ
5000,5000
1150,1150
1700,1700
4700,4700
EN81-20/50+72,EN81-20/50+72
"- Ø50 HOLE AT FINISH LEVEL + 1050MM,BY OTHERS","- Ø50 ДЫРА НА УРОВНЕ ОТДЕЛКИ + 1050MM, ДРУГИЕ"
1.75,1.75
1100 X 1400,1100 X 1400
12 - 200X200,12 - 200X200
1653,1653
230,230
23KN,23KN
3 - 100X200,3 - 100X200
32,32
380,380
3C-2BC,3C-2BC
470,470
54,54
550,550
55KN,55KN
6 - ø80,6 - ø80
630,630
67,67
779,779
800 X 2400,800 X 2400
BG   800,BG   800
CAR WIDTH   1100,ШИРИНА КАБИНЫ   1100
CLEAR OPENING   800,ЧИСТЫЙ ПРОЁМ   800
CONCRETE OPENING   1000,БЕТОННЫЙ ПРОЁМ   1000
PLATFORM   1150,ПЛАТФОРМА   1150
1850,1850
20 FLOOR / 20 ST,20 ЭТАЖ / 20 СТ
2000,2000
HOISTWAY WIDTH 1800,ШИРИНА ШАХТЫ 1800
CH,CH
12.3,12.3
2100 X 1300,2100 X 1300
3018,3018
386,386
790,790
CAR WIDTH   2100,ШИРИНА АВТОМОБИЛЯ   2100
CLEAR OPENING   1100,ЧИСТЫЙ ПРОЕМ   1100
CONCRETE OPENING   1300,БЕТОННЫЙ ПРОЕМ   1300
EL NO. (L007009),EL NO. (L007009)
EL NO. (L010011),EL NO. (L010011)
EL NO. (L012014),EL NO. (L012014)
EL NO. (L015017),EL NO. (L015017)
EL NO. (L018019),EL NO. (L018019)
L001,L001
L006,L006
L014,L014
L017,L017
"LAMP OF HOISTWAY(1.0 M ABOVE CAR ROOF OR PIT FLOOR ≥ 50 LUX, OTHER LOCATIONS ≥ 20 LUX)","ЛАМПА ШАХТЫ (1.0 М НАД КРЫШКОЙ АВТОМОБИЛЯ ИЛИ ПОЛОМ ЯМЫ ≥ 50 ЛК, ДРУГИЕ МЕСТА ≥ 20 ЛК)"
M/C ROOM H ≥,М/К ПОМЕЩЕНИЕ H ≥
"OH,LAMP","OH,ЛАМПА"
OVERHEAD,НАДГОЛОВНЫЙ
PIT,PIT
PLATFORM   2150,ПЛАТФОРМА   2150
TOTAL HEIGHT,ОБЩАЯ ВЫСОТА
TRAVEL,ХОД
1080,1080
390,390
436,436
45≤H≤80,45≤H≤80
535,535
545,545
710,710
739,739
BG   2200,BG   2200
CAR DEPTH   1300,ГЛУБИНА КАБИНЫ   1300
EL NO. (L004006),ЭЛ. НОМЕР (L004006)
HOISTWAY WIDTH 2700,ШИРИНА ШАХТЫ 2700
L005,L005
L007,L007
L009,L009
PLATFORM   1449,ПЛАТФОРМА   1449
REACTION (KN),РЕАКЦИЯ (КН)
REV,REV
≥100,≥100
2500,2500
1~20,1~20
20 / 20 / 20,20 / 20 / 20
31200,31200
586,586
63,63
760,760
789,789
CAR DEPTH   1400,ГЛУБИНА КАБИНЫ   1400
L002,L002
L003,L003
L008,L008
L012,L012
L013,L013
L015,L015
L016,L016
L018,L018
L019,L019
PLATFORM   1549,ПЛАТФОРМА   1549
1375,1375
61800,61800
65250,65250
65400,65400
HOISTWAY DEPTH 2100,ГЛУБИНА ШАХТЫ 2100
L001 REACTION (KN),L001 РЕАКЦИЯ (КН)
L002003 REACTION (KN),L002003 РЕАКЦИЯ (КН)
L004,L004
MACHINE ROOM DEPTH   4100,ГЛУБИНА МАШИННОГО ПОМЕЩЕНИЯ   4100
RAIL PITCH(FROM TOP TO BOTTOM) 5000 X 13 = 65000,УГОЛ РЕЛЬСА (СВЕРХУ ВНИЗ) 5000 X 13 = 65000
1 - 100X200,1 - 100X200
1.5,1.5
10.6,10.6
1100*170*10T,1100*170*10T
16,16
1600,1600
1800 X 1350,1800 X 1350
190,190
2 - ø80,2 - ø80
2587,2587
336,336
4 - 200X200,4 - 200X200
44,44
5050,5050
536,536
65100,65100
68850,68850
714,714
914,914
EL NO. (L001001),EL NO. (L001001)
EL NO. (L001003),EL NO. (L001003)
L004005 REACTION (KN),L004005 РЕАКЦИЯ (КН)
L006 REACTION (KN),L006 РЕАКЦИЯ (КН)
L010011,L010011
L018019,L018019
X3,X3
X4,X4
Y,Y
☆The car area does not conform to EN CODE,☆Площадь автомобиля не соответствует EN CODE
251,251
689,689
925,925
974,974
HOISTWAY DEPTH   2300,ГЛУБИНА ШАХТЫ   2300
MACHINE ROOM WIDTH   7400,ШИРИНА МАШИННОГО ПОМЕЩЕНИЯ   7400
255,255
350,350
400*170*10T,400*170*10T
"- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5

- EN81-20/50+72
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","- РЕЛЬС АВТОМОБИЛЯ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5

- EN81-20/50+72
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ АВТОМОБИЛЯ)"
"- CAR RAIL		:    T82/B
- CWT RAIL		:    TD65_2.5
- ADDITIONAL WEIGHT:100KG(INCLUDE CAR FLOOR)","- РЕЛЬС АВТОМОБИЛЯ		:    T82/B
- РЕЛЬС CWT		:    TD65_2.5
- ДОПОЛНИТЕЛЬНЫЙ ВЕС:100КГ(ВКЛЮЧАЯ ПОЛ АВТОМОБИЛЯ)"
10 / 10 / 10,10 / 10 / 10
10 FLOOR / 10 ST,10 ЭТАЖ / 10 ПОДЪЕЗД
104,104
1154,1154
15.4,15.4
17 / 17 / 17,17 / 17 / 17
17 FLOOR / 17 ST,17 ЭТАЖ / 17 ПОДЪЕЗД
19 / 19 / 19,19 / 19 / 19
19 FLOOR / 19 ST,19 ЭТАЖ / 19 ПОДЪЕЗД
1C-2BC,1C-2BC
1~17,1~17
21 / 21 / 21,21 / 21 / 21
2100 X 1400,2100 X 1400
2C-2BC,2C-2BC
3543,3543
357.5,357.5
4900,4900
5200,5200
55200,55200
71800,71800
736,736
A-A,A-A
BETWEEN EACH STEEL BEAM,МЕЖДУ КАЖДЫМ СТАЛЬНЫМ БРУСОМ
BOLT CONNECTION,СОЕДИНЕНИЕ БОЛТАМИ
BRACKET,КРОНШТЕЙН
HOISTING HOOK 40KN,КРАНОВЫЙ КУК 40KN
HOISTWAY DEPTH   2000,ГЛУБИНА ШАХТЫ   2000
HOISTWAY WIDTH   1825,ШИРИНА ШАХТЫ   1825
HOISTWAY WIDTH   2725,ШИРИНА ШАХТЫ   2725
HOLE POSITION,ПОЗИЦИЯ ДЛЯ ДЫРЫ
L001003,L001003
L0015016,L0015016
L002003,L002003
L004005,L004005
L004006,L004006
L007009,L007009
L012013,L012013
L012014,L012014
L015017,L015017
"LOAD,CB，EN81-20/50+72","НАГРУЗКА,CB，EN81-20/50+72"
MACHINE ROOM WIDTH   7300,ШИРИНА МАШИННОГО ПОМЕЩЕНИЯ   7300
"P,1~18","P,1~18"
"P,1~20","P,1~20"
"P,1~9","P,1~9"
PROTECTION GRID SHOULD BE INSTALLED,СЕТКА ЗАЩИТЫ ДОЛЖНА БЫТЬ УСТАНОВЛЕНА
PROTECTIVE NET,ЗАЩИТНАЯ СЕТКА
STEEL BEAM BY OTHERS,СТАЛЬНАЯ БАЛКА ОТ ДРУГИХ
STEEL PLATE(BY OTHERS),СТАЛЬНАЯ ПЛИТА (ОТ ДРУГИХ)
X3-X3,X3-X3
X4-X4,X4-X4
Y-Y,Y-Y
☆The car area does not conform to EN CODE(L001),☆Зона для автомобилей не соответствует EN CODE (L001)
☆The car area does not conform to EN CODE(L006),☆Зона для автомобилей не соответствует EN CODE (L006)
☆The car area does not conform to EN CODE(L007),☆Зона для автомобилей не соответствует EN CODE (L007)
☆The car area does not conform to EN CODE(L014),☆Зона для автомобилей не соответствует EN CODE (L014)
☆The car area does not conform to EN CODE(L017),☆Зона для автомобилей не соответствует EN CODE (L017)
"1. The working environment requirements of the elevator are as follows: 
1.1 The ambient temperature of the TCWA (working area of main equipment such as traction machine and control system) shall be kept between 5℃ and 40 ℃. 
1.2 The ambient relative humidity shall not be greater than 85% (at 25 ℃). 
1.3 The working environment of elevator shall be free of explosion, gas and conductive dust that can corrode metal and damage insulation. 
1.4 The fluctuation of power supply voltage shall be within ± 7%. 
2. TCWA: 
2.1 The floor of TCWA shall be able to bear the load of equipment installation and operation. 
2.2 The ground of TCWA shall be made of materials that are non slip and not easy to generate dust. 2.3 The supporting length of the traction machine beam shall exceed the wall thickness center by 20mm and shall not be less than 150mm. 
2.4 The ground of TCWA should be flat, the doors and windows should be weatherproof, the passage shall be unblocked. The door of machine room with machine room elevator shall be locked. The outside of the door shall be provided with a notice including the following short words: ""Elevator traction machine - danger, no entry without permission"". 
2.5 When the ground height of the machine room with machine room elevators is different and the difference is more than 0.5m, stairs or steps shall be set and guardrails shall be set. 
2.6 Any pit or any groove on the machine room floor with a depth of more than 0.5m and a width of less than 0.5m shall be covered.The reserved holes in the machine room shall be effectively covered and protected to prevent sundries from falling into the hoistway or personnel from stepping into the hoistway. 
2.7 In order to prevent objects from passing through the openings above the hoistway, including the danger of falling through the openings for cables, a ring frame must be used, which should protrude at least 50mm from the floor or the finished ground. 
2.8 The machine room must be well ventilated. The stale air drawn from other parts of the building shall not be discharged into the machine room. 
2.9 When the functions of buildings are required (such as hospitals, schools, libraries, residences, etc.), the walls, floors and roofs of TCWA should be able to absorb a large amount of noise generated during elevator operation. 
2.10 The maximum allowable load shall be indicated on the bearing beam and hook. 
2.11 Each elevator in TCWA shall be firmly installed with a switch that can cut off the main power supply of the elevator. Its capacity can cut off the maximum current of the elevator when it is in use, but the switch shall not cut off the following power supply circuits: 
a. Car lighting and ventilation; 				b. Car roof power socket; 
c. Lighting of elevator TCWA; 				d. Power socket in TCWA; 
e. Elevator hoistway lighting; 				f. Alarm device. 
2.12 The main power switch shall be installed on the wall 1.3~1.5m above the ground at the entrance of the machine room (elevator with machine room) or within 3m of the control cabinet (elevator without machine room). If several","1. Требования к рабочей среде лифта следующие: 
1.1 Температура окружающей среды TCWA (рабочая зона основного оборудования, такого как тяговая машина и система управления) должна поддерживаться в пределах от 5℃ до 40℃. 
1.2 Относительная влажность воздуха не должна превышать 85% (при 25℃). 
1.3 Рабочая среда лифта должна быть свободна от взрывчатых веществ, газов и проводящей пыли, которые могут корродировать металл и повредить изоляцию. 
1.4 Колебания напряжения электропитания должны находиться в пределах ± 7%. 
2. TCWA: 
2.1 Пол TCWA должен выдерживать нагрузку установки и эксплуатации оборудования. 
2.2 Пол TCWA должен быть выполнен из материалов, которые не скользят и не подвержены образованию пыли. 
2.3 Поддерживающая длина балки тяговой машины должна превышать центр толщины стены на 20 мм и не должна быть менее 150 мм. 
2.4 Пол TCWA должен быть ровным, двери и окна должны быть защищены от погодных условий, проходы должны быть свободными. Дверь машинного помещения с лифтом должна быть заперта. Снаружи двери должно быть размещено уведомление, содержащее следующие короткие слова: ""Тяговая машина лифта - опасность, вход без разрешения запрещен"". 
2.5 Когда высота пола машинного помещения с лифтами различна и разница превышает 0,5 м, должны быть установлены лестницы или ступени и ограждения. 
2.6 Любая яма или любой желоб на полу машинного помещения с глубиной более 0,5 м и шириной менее 0,5 м должны быть закрыты. Зарезервированные отверстия в машинном помещении должны быть эффективно закрыты и защищены, чтобы предотвратить падение посторонних предметов в шахту или попадание людей в шахту. 
2.7 Для предотвращения прохода предметов через отверстия над шахтой, включая опасность падения через отверстия для кабелей, необходимо использовать кольцевую раму, которая должна выступать не менее чем на 50 мм от пола или готового покрытия. 
2.8 Машинное помещение должно быть хорошо вентилируемым. Застойный воздух, вытягиваемый из других частей здания, не должен сбрасываться в машинное помещение. 
2.9 Когда требуются функции зданий (таких как больницы, школы, библиотеки, жилые дома и т. д.), стены, полы и крыши TCWA должны быть способны поглощать большое количество шума, возникающего во время работы лифта. 
2.10 Максимально допустимая нагрузка должна быть указана на несущей балке и крюке. 
2.11 Каждый лифт в TCWA должен быть надежно установлен с выключателем, который может отключить основное электропитание лифта. Его мощность может отключить максимальный ток лифта во время работы, но выключатель не должен отключать следующие цепи электропитания: 
a. Освещение и вентиляция кабины; 				b. Электрическая розетка на крыше кабины; 
c. Освещение TCWA лифта; 				d. Электрическая розетка в TCWA; 
e. Освещение шахты лифта; 				f. Сигнальное устройство. 
2.12 Главный выключатель питания должен быть установлен на стене на высоте 1,3~1,5 м над полом у входа в машинное помещение (лифт с машинным помещением) или в пределах 3 м от контрольного шкафа (лифт без машинного помещения). Если несколько"
1100,1100
158,158
185,185
